country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_construction_waste_tons_year,MSW_generated_tons_year,gdp_inhab
ALB,ECS,MiddleUpperIncome,no,yes,yes,yes,2880703.0,203009.0,1142964.0,4676.32
ARE,MEA,HighIncome,yes,yes,no,yes,9269612.0,2876313.0,5413453.408,41449.68
ARM,ECS,MiddleUpperIncome,no,no,yes,no,2906220.0,7820.0,492800.0,3957.72
AUS,EAS,HighIncome,yes,yes,yes,yes,23789338.0,20000000.0,13345000.0,56718.88
AUT,ECS,HighIncome,no,yes,yes,no,8633169.0,42423893.0,4836000.0,48654.26
BEL,ECS,HighIncome,no,yes,yes,no,11274196.0,35824399.0,4708000.0,45688.64
BGR,ECS,MiddleUpperIncome,yes,yes,yes,yes,7177991.0,172369117.0,3011000.0,7912.02
BHR,MEA,HighIncome,no,yes,yes,no,1425171.0,570099.67,951942.96945,22291.4
BIH,ECS,MiddleUpperIncome,no,no,no,yes,3535961.0,252310.0,1248718.0,5353.48
BRA,LCN,MiddleUpperIncome,yes,yes,yes,yes,205962108.0,45158165.0,79889010.0,10957.87
BRB,LCN,HighIncome,no,yes,no,no,280601.0,184957.0,174815.44444444447,16528.29
CAN,NAC,HighIncome,yes,yes,yes,yes,35544564.0,653255.0,25103034.0,51428.46
CHE,ECS,HighIncome,no,yes,yes,no,8372098.0,6390000.0,6056000.0,76694.0
CHN,EAS,MiddleUpperIncome,no,yes,yes,yes,1371220000.0,1500000000.0,210000000.0,6931.9
CRI,LCN,MiddleUpperIncome,no,no,yes,no,4757575.0,800000.0,1460000.0,9784.7
CYP,ECS,HighIncome,yes,yes,yes,no,1160985.0,1377767.0,541000.0,20940.51
CZE,ECS,HighIncome,no,yes,yes,yes,10546059.0,13379041.0,3337000.0,21936.2
DEU,ECS,HighIncome,no,yes,yes,yes,81686611.0,275413069.0,51046000.0,46295.21
DNK,ECS,HighIncome,yes,yes,yes,yes,5683483.0,11402900.0,4485000.0,61145.56
DZA,MEA,MiddleUpperIncome,yes,yes,yes,no,40606052.0,11000000.0,12378740.0,4827.72
EGY,MEA,LowMiddleIncome,yes,yes,no,yes,87813257.0,4000000.0,21000000.0,2970.12
ESP,ECS,HighIncome,no,yes,yes,yes,46447697.0,52155411.0,20151000.0,31530.28
EST,ECS,HighIncome,yes,yes,yes,no,1315407.0,18094986.0,473000.0,18099.86
FIN,ECS,HighIncome,yes,yes,yes,yes,5479531.0,84662998.0,2738000.0,46115.67
FRA,ECS,HighIncome,no,yes,yes,yes,66624068.0,236301207.0,33399000.0,42117.46
GBR,ECS,HighIncome,yes,yes,yes,no,65128861.0,156803699.0,31567000.0,42340.99
GIB,ECS,HighIncome,no,yes,yes,yes,33623.0,30000.0,16954.0,35895.51301587302
GRC,ECS,HighIncome,no,yes,yes,yes,10892413.0,59985396.0,5477424.0,22445.07
HKG,EAS,HighIncome,yes,yes,yes,yes,7305700.0,1533000.0,5679816.465,36971.87
HRV,ECS,HighIncome,yes,yes,yes,yes,4203604.0,805354.0,1654000.0,14534.02
HUN,ECS,HighIncome,yes,yes,yes,yes,9843028.0,7605276.0,3712000.0,14953.01
IMN,ECS,HighIncome,yes,yes,yes,no,80759.0,122965.0,50551.0,35895.51301587302
IND,SAS,LowMiddleIncome,no,yes,yes,yes,1071477855.0,27500000.0,168403239.95,2301.66
IRL,ECS,HighIncome,no,yes,yes,yes,4586897.0,7898378.0,2692537.0,72458.87
IRN,MEA,MiddleUpperIncome,no,yes,yes,yes,80277428.0,80000000.0,17885000.0,6733.91
