country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_e_waste_tons_year,MSW_generated_tons_year,gdp_inhab
AFG,SAS,LowIncome,no,yes,yes,yes,34656032.0,20000.0,5628525.37,617.89
AGO,SSF,LowMiddleIncome,no,no,yes,yes,25096150.0,92000.0,4213643.585,4105.9
ALB,ECS,MiddleUpperIncome,no,yes,yes,yes,2880703.0,20000.0,1142964.0,4676.32
ARE,MEA,HighIncome,yes,yes,no,yes,9269612.0,134000.0,5413453.408,41449.68
ARG,LCN,HighIncome,yes,no,yes,yes,42981515.0,291700.0,17910550.0,10411.87
ARM,ECS,MiddleUpperIncome,no,no,yes,no,2906220.0,14000.0,492800.0,3957.72
ATG,LCN,HighIncome,no,yes,yes,no,96777.0,1100.0,30585.0,13891.46
AUS,EAS,HighIncome,yes,yes,yes,yes,23789338.0,574000.0,13345000.0,56718.88
AUT,ECS,HighIncome,no,yes,yes,no,8633169.0,166174.0,4836000.0,48654.26
AZE,ECS,MiddleUpperIncome,no,yes,yes,no,9649341.0,63000.0,2930349.0,5927.4
BDI,SSF,LowIncome,no,no,no,no,6741569.0,5000.0,1872016.0,340.76
BEL,ECS,HighIncome,no,yes,yes,no,11274196.0,603575.0,4708000.0,45688.64
BEN,SSF,LowIncome,no,no,yes,yes,5521763.0,8200.0,685936.01,1648.44
BFA,SSF,LowIncome,no,no,yes,yes,18110624.0,11000.0,2575251.11,683.61
BGD,SAS,LowMiddleIncome,no,yes,yes,yes,155727053.0,142000.0,14778497.33,1077.34
BGR,ECS,MiddleUpperIncome,yes,yes,yes,yes,7177991.0,53785.0,3011000.0,7912.02
BHR,MEA,HighIncome,no,yes,yes,no,1425171.0,20000.0,951942.96945,22291.4
BHS,LCN,HighIncome,no,yes,no,no,386838.0,4900.0,264000.0,26739.37
BIH,ECS,MiddleUpperIncome,no,no,no,yes,3535961.0,1409.0,1248718.0,5353.48
BLR,ECS,MiddleUpperIncome,yes,yes,yes,yes,9489616.0,72000.0,4280000.0,6237.03
BLZ,LCN,MiddleUpperIncome,yes,yes,yes,no,359288.0,2300.0,101378.83030000002,4460.69
BOL,LCN,LowMiddleIncome,yes,yes,yes,no,10724705.0,35392.0,2219052.0,2495.02
BRA,LCN,MiddleUpperIncome,yes,yes,yes,yes,205962108.0,1411900.0,79889010.0,10957.87
BRB,LCN,HighIncome,no,yes,no,no,280601.0,3800.0,174815.44444444447,16528.29
BRN,EAS,HighIncome,no,yes,yes,yes,423196.0,7700.0,216253.156,31430.96
BTN,SAS,LowMiddleIncome,no,yes,yes,yes,686958.0,1457.5,111314.05,3253.12
