country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_hazardous_waste_tons_year,MSW_generated_tons_year,gdp_inhab
ALB,ECS,MiddleUpperIncome,no,yes,yes,yes,2880703.0,5714.82,1142964.0,4676.32
AND,ECS,HighIncome,no,yes,yes,yes,82431.0,1788.0,43000.0,40274.66
ARE,MEA,HighIncome,yes,yes,no,yes,9269612.0,57525.0,5413453.408,41449.68
ARG,LCN,HighIncome,yes,no,yes,yes,42981515.0,310044.0,17910550.0,10411.87
ARM,ECS,MiddleUpperIncome,no,no,yes,no,2906220.0,62270.0,492800.0,3957.72
AUS,EAS,HighIncome,yes,yes,yes,yes,23789338.0,7000000.0,13345000.0,56718.88
AUT,ECS,HighIncome,no,yes,yes,no,8633169.0,1272288.0,4836000.0,48654.26
AZE,ECS,MiddleUpperIncome,no,yes,yes,no,9649341.0,296979.4,2930349.0,5927.4
BEL,ECS,HighIncome,no,yes,yes,no,11274196.0,2946195.0,4708000.0,45688.64
BFA,SSF,LowIncome,no,no,yes,yes,18110624.0,7871.0,2575251.11,683.61
BGD,SAS,LowMiddleIncome,no,yes,yes,yes,155727053.0,114358.0,14778497.33,1077.34
BGR,ECS,MiddleUpperIncome,yes,yes,yes,yes,7177991.0,12206169.0,3011000.0,7912.02
BHR,MEA,HighIncome,no,yes,yes,no,1425171.0,31000.0,951942.96945,22291.4
BIH,ECS,MiddleUpperIncome,no,no,no,yes,3535961.0,8408.0,1248718.0,5353.48
BLR,ECS,MiddleUpperIncome,yes,yes,yes,yes,9489616.0,1336926.0,4280000.0,6237.03
BMU,NAC,HighIncome,yes,yes,yes,no,64798.0,525.0,82000.0,35895.51301587302
BOL,LCN,LowMiddleIncome,yes,yes,yes,no,10724705.0,545183.0,2219052.0,2495.02
BRB,LCN,HighIncome,no,yes,no,no,280601.0,9410.337,174815.44444444447,16528.29
CHE,ECS,HighIncome,no,yes,yes,no,8372098.0,1200000.0,6056000.0,76694.0
CHL,LCN,HighIncome,yes,no,yes,yes,16829442.0,249755.0,6517000.0,15918.78
CHN,EAS,MiddleUpperIncome,no,yes,yes,yes,1371220000.0,34652400.0,210000000.0,6931.9
CMR,SSF,LowMiddleIncome,no,no,yes,yes,21655715.0,8716.6,3270616.59,1618.6
COL,LCN,MiddleUpperIncome,yes,no,no,yes,46406646.0,270146.3,12150120.0,7896.64
CPV,SSF,LowMiddleIncome,yes,yes,yes,no,513979.0,3548.92,132555.0,3619.15
CUB,LCN,MiddleUpperIncome,no,no,no,yes,11303687.0,565216.0,2692691.98,7332.349814814818
CYP,ECS,HighIncome,yes,yes,yes,no,1160985.0,173377.0,541000.0,20940.51
CZE,ECS,HighIncome,no,yes,yes,yes,10546059.0,1162342.0,3337000.0,21936.2
DEU,ECS,HighIncome,no,yes,yes,yes,81686611.0,21812660.0,51046000.0,46295.21
DMA,LCN,MiddleUpperIncome,yes,yes,yes,no,72400.0,627.0,13176.0,6989.25
DNK,ECS,HighIncome,yes,yes,yes,yes,5683483.0,1718394.0,4485000.0,61145.56
DZA,MEA,MiddleUpperIncome,yes,yes,yes,no,40606052.0,330000.0,12378740.0,4827.72
ECU,LCN,MiddleUpperIncome,yes,yes,no,yes,16144368.0,193812.0,5297211.142533937,5268.49
EGY,MEA,LowMiddleIncome,yes,yes,no,yes,87813257.0,380000.0,21000000.0,2970.12
ESP,ECS,HighIncome,no,yes,yes,yes,46447697.0,2984518.0,20151000.0,31530.28
EST,ECS,HighIncome,yes,yes,yes,no,1315407.0,10410321.0,473000.0,18099.86
FIN,ECS,HighIncome,yes,yes,yes,yes,5479531.0,1998693.0,2738000.0,46115.67
FRA,ECS,HighIncome,no,yes,yes,yes,66624068.0,10783405.0,33399000.0,42117.46
GBR,ECS,HighIncome,yes,yes,yes,no,65128861.0,5755258.0,31567000.0,42340.99
GIB,ECS,HighIncome,no,yes,yes,yes,33623.0,58995.04,16954.0,35895.51301587302
GRC,ECS,HighIncome,no,yes,yes,yes,10892413.0,221041.0,5477424.0,22445.07
GRL,ECS,HighIncome,no,no,yes,no,56905.0,730.0,50000.0,49620.14
GTM,LCN,MiddleUpperIncome,no,no,no,yes,16252429.0,10051.0,2756740.97135,3163.95
GUY,LCN,MiddleUpperIncome,no,yes,no,no,746556.0,741.78,179251.5,3919.1
HKG,EAS,HighIncome,yes,yes,yes,yes,7305700.0,54812.0,5679816.465,36971.87
HND,LCN,LowMiddleIncome,no,no,yes,yes,9112867.0,253.14,2162027.69575,2144.87
HRV,ECS,HighIncome,yes,yes,yes,yes,4203604.0,130326.0,1654000.0,14534.02
HUN,ECS,HighIncome,yes,yes,yes,yes,9843028.0,596554.0,3712000.0,14953.01
IDN,EAS,LowMiddleIncome,no,yes,yes,yes,261115456.0,23000000.0,65200000.0,3974.73
IND,SAS,LowMiddleIncome,no,yes,yes,yes,1071477855.0,7467000.0,168403239.95,2301.66
IRL,ECS,HighIncome,no,yes,yes,yes,4586897.0,482907.0,2692537.0,72458.87
IRN,MEA,MiddleUpperIncome,no,yes,yes,yes,80277428.0,8000000.0,17885000.0,6733.91
IRQ,MEA,MiddleUpperIncome,no,no,no,no,36115649.0,20622.0,13140000.0,5923.68
ISL,ECS,HighIncome,no,yes,yes,no,330815.0,7000.0,525000.0,49680.0
ISR,MEA,HighIncome,no,yes,yes,no,8380100.0,321000.0,5400000.0,34344.17
ITA,ECS,HighIncome,yes,yes,yes,no,60730582.0,8923548.0,29524000.0,34260.24
JAM,LCN,MiddleUpperIncome,yes,yes,yes,yes,2881355.0,10000.0,1051694.575,4790.04
JOR,MEA,MiddleUpperIncome,no,no,yes,yes,8413464.0,1230441.0,2529997.0,3662.19
