country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_construction_waste_tons_year,SpW_e_waste_tons_year,SpW_hazardous_waste_tons_year,SpW_medical_waste_tons_year,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
AFG,SAS,LowIncome,,,,,,,no,yes,yes,yes,34656032.0,,20000.0,,9855.0,5628525.37,0.0,0.0,617.89
AGO,SSF,LowMiddleIncome,51.8,6.7,4.4,11.5,11.9,13.5,no,no,yes,yes,25096150.0,,92000.0,,5495.95,4213643.585,0.0,0.0,4105.9
ALB,ECS,MiddleUpperIncome,51.4,4.5,4.8,15.21,9.9,9.6,no,yes,yes,yes,2880703.0,203009.0,20000.0,5714.82,114.3,1142964.0,0.0,0.0,4676.32
ARE,MEA,HighIncome,39.0,4.0,3.0,10.0,25.0,19.0,yes,yes,no,yes,9269612.0,2876313.0,134000.0,57525.0,4573.0,5413453.408,9.0,20.0,41449.68
AUT,ECS,HighIncome,31.4,7.0,4.4,18.5,19.7,11.1,no,yes,yes,no,8633169.0,42423893.0,166174.0,1272288.0,696748.0,4836000.0,31.24,25.66,48654.26
BEL,ECS,HighIncome,14.18,3.1,1.91,40.14,18.38,13.94,no,yes,yes,no,11274196.0,35824399.0,603575.0,2946195.0,2397368.0,4708000.0,19.137,34.303000000000004,45688.64
BEN,SSF,LowIncome,52.1,1.6,1.6,34.3,3.1,7.3,no,no,yes,yes,5521763.0,,8200.0,,1698.0,685936.01,0.0,25.0,1648.44
BGD,SAS,LowMiddleIncome,80.57999999999998,0.44,0.5,8.59,3.04,4.67,no,yes,yes,yes,155727053.0,,142000.0,114358.0,12271.0,14778497.33,5.25,0.0,1077.34
BGR,ECS,MiddleUpperIncome,24.35,5.83,1.98,17.93,14.18,12.15,yes,yes,yes,yes,7177991.0,172369117.0,53785.0,12206169.0,518228.0,3011000.0,10.32,19.03,7912.02
BHR,MEA,HighIncome,59.1,3.4,2.1,15.2,12.8,7.4,no,yes,yes,no,1425171.0,570099.67,20000.0,31000.0,911000.0,951942.96945,0.0,8.0,22291.4
BIH,ECS,MiddleUpperIncome,,,,92.7,4.9,,no,no,no,yes,3535961.0,252310.0,1409.0,8408.0,8150.0,1248718.0,0.0,0.0009699999999999999,5353.48
BLZ,LCN,MiddleUpperIncome,47.0,8.0,5.0,5.0,16.0,19.0,yes,yes,yes,no,359288.0,,2300.0,,188.0,101378.83030000002,0.0,0.0,4460.69
BOL,LCN,LowMiddleIncome,55.196911196911195,2.9034749034749034,2.5019305019305023,22.7027027027027,6.501930501930501,10.193050193050194,yes,yes,yes,no,10724705.0,,35392.0,545183.0,4683.0,2219052.0,0.4,12.11,2495.02
BRA,LCN,MiddleUpperIncome,51.4,2.4,2.9,16.7,13.1,13.5,yes,yes,yes,yes,205962108.0,45158165.0,1411900.0,,260063.0,79889010.0,0.2,1.4,10957.87
BRN,EAS,HighIncome,36.0,3.0,4.0,15.0,18.0,16.0,no,yes,yes,yes,423196.0,,7700.0,,195.0,216253.156,2.0,0.0,31430.96
BTN,SAS,LowMiddleIncome,58.0,4.0,1.0,7.0,17.0,13.0,no,yes,yes,yes,686958.0,,1457.5,,358.0,111314.05,1.39,0.86,3253.12
BWA,SSF,MiddleUpperIncome,8.1,,0.1,91.9,,,no,no,no,no,2014866.0,,16000.0,,2500.0,210854.44261891601,0.0,1.0,8359.51
COL,LCN,MiddleUpperIncome,59.58,2.35,1.1,15.74,8.4,12.83,yes,no,no,yes,46406646.0,,252200.0,270146.3,27704.0,12150120.0,0.0,17.2,7896.64
CPV,SSF,LowMiddleIncome,,,,,,,yes,yes,yes,no,513979.0,,2400.0,3548.92,76.0,132555.0,0.0,0.0,3619.15
CYP,ECS,HighIncome,41.47,2.66,3.25,10.07,25.7,14.77,yes,yes,yes,no,1160985.0,1377767.0,18137.0,173377.0,21404.0,541000.0,4.62,13.31,20940.51
CZE,ECS,HighIncome,62.3,2.4,8.4,14.899999999999995,9.1,2.2,no,yes,yes,yes,10546059.0,13379041.0,79581.0,1162342.0,797432.0,3337000.0,4.22,25.5,21936.2
DEU,ECS,HighIncome,30.0,10.0,1.4,17.7,24.0,13.0,no,yes,yes,yes,81686611.0,275413069.0,2465085.0,21812660.0,8821344.0,51046000.0,18.23,47.83,46295.21
DNK,ECS,HighIncome,12.78,5.78,6.29,23.86,11.57,1.61,yes,yes,yes,yes,5683483.0,11402900.0,168614.0,1718394.0,317413.0,4485000.0,18.99,27.27,61145.56
DZA,MEA,MiddleUpperIncome,54.4,1.2,2.8,0.8,9.8,16.9,yes,yes,yes,no,40606052.0,11000000.0,252000.0,330000.0,30000.0,12378740.0,1.0,8.0,4827.72
ECU,LCN,MiddleUpperIncome,58.67,3.01,1.53,13.78,10.25,11.44,yes,yes,no,yes,16144368.0,,73000.0,193812.0,11292.0,5297211.142533937,0.0,12.9,5268.49
EGY,MEA,LowMiddleIncome,56.0,4.0,2.0,15.0,10.0,13.0,yes,yes,no,yes,87813257.0,4000000.0,497000.0,380000.0,28300.0,21000000.0,7.0,12.5,2970.12
ESP,ECS,HighIncome,49.0,8.0,3.0,14.0,15.0,9.0,no,yes,yes,yes,46447697.0,52155411.0,1202597.0,2984518.0,2990346.0,20151000.0,16.45,16.84,31530.28
EST,ECS,HighIncome,36.7,8.3,2.6,15.9,17.5,18.6,yes,yes,yes,no,1315407.0,18094986.0,34312.0,10410321.0,1750157.0,473000.0,3.6,24.74,18099.86
FIN,ECS,HighIncome,35.88,9.24,1.7,13.13,37.83,1.45,yes,yes,yes,yes,5479531.0,84662998.0,212954.0,1998693.0,1006713.0,2738000.0,12.45,28.12,46115.67
FJI,EAS,MiddleUpperIncome,33.2,4.1,1.9,3.5,12.5,7.5,no,yes,yes,yes,867086.0,,4600.0,,316.16,189389.59399999998,0.0,5.45,4349.24
FRA,ECS,HighIncome,32.0,10.0,3.0,26.0,20.0,9.0,no,yes,yes,yes,66624068.0,236301207.0,2218682.0,10783405.0,4867183.0,33399000.0,17.26,22.26,42117.46
FSM,EAS,LowMiddleIncome,23.83,7.07,16.73,9.32,13.3,26.17,no,yes,yes,no,104937.0,,200.0,,73.47,26039.57,0.0,0.0,2823.43
GBR,ECS,HighIncome,16.7,2.2,3.5,28.2,18.9,20.2,yes,yes,yes,no,65128861.0,156803699.0,3584126.0,5755258.0,4218205.0,31567000.0,16.23,27.25,42340.99
GRC,ECS,HighIncome,40.0,3.0,3.0,9.0,29.0,14.0,no,yes,yes,yes,10892413.0,59985396.0,188460.0,221041.0,251623.0,5477424.0,0.0,19.0,22445.07
GTM,LCN,MiddleUpperIncome,37.7144911834619,4.391835579814286,,18.01847364137028,16.046702153078943,17.290808751009344,no,no,no,yes,16252429.0,,55000.0,10051.0,818.6,2756740.97135,0.0,0.0,3163.95
HKG,EAS,HighIncome,35.0,3.0,2.0,14.0,22.0,21.0,yes,yes,yes,yes,7305700.0,1533000.0,70000.0,54812.0,2268.0,5679816.465,0.0,34.0,36971.87
HRV,ECS,HighIncome,30.9,3.7,2.1,11.5,23.2,22.9,yes,yes,yes,yes,4203604.0,805354.0,58078.0,130326.0,56814.0,1654000.0,1.69,16.32,14534.02
HUN,ECS,HighIncome,22.5,3.5,1.8,45.9,13.4,13.0,yes,yes,yes,yes,9843028.0,7605276.0,50066.0,596554.0,489182.0,3712000.0,6.22,25.94,14953.01
IDN,EAS,LowMiddleIncome,53.8,2.5,1.8,12.9,14.9,14.0,no,yes,yes,yes,261115456.0,,1274000.0,23000000.0,82125.0,65200000.0,0.0,7.0,3974.73
IND,SAS,LowMiddleIncome,,,,,,,no,yes,yes,yes,1071477855.0,27500000.0,1700000.0,7467000.0,180784.5,168403239.95,18.0,5.0,2301.66
IRL,ECS,HighIncome,16.6,8.5,3.7,25.8,25.0,12.4,no,yes,yes,yes,4586897.0,7898378.0,212874.0,482907.0,776112.0,2692537.0,6.0,33.0,72458.87
IRN,MEA,MiddleUpperIncome,72.9,1.9,2.3,5.0,7.3,8.5,no,yes,yes,yes,80277428.0,80000000.0,630000.0,8000000.0,1609650.0,17885000.0,12.0,5.0,6733.91
ITA,ECS,HighIncome,34.4,7.6,4.3,15.4,22.8,11.6,yes,yes,yes,no,60730582.0,61938678.0,2800026.0,8923548.0,16071024.0,29524000.0,17.6,25.9,34260.24
JAM,LCN,MiddleUpperIncome,62.22,2.81,2.38,5.13,14.73,12.2,yes,yes,yes,yes,2881355.0,,17000.0,10000.0,206.58,1051694.575,0.0,0.0,4790.04
