country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
AGO,SSF,LowMiddleIncome,51.8,6.7,4.4,11.5,11.9,13.5,no,no,yes,yes,25096150.0,4213643.585,0.0,0.0,4105.9
ALB,ECS,MiddleUpperIncome,51.4,4.5,4.8,15.21,9.9,9.6,no,yes,yes,yes,2880703.0,1142964.0,0.0,0.0,4676.32
AND,ECS,HighIncome,31.2,8.2,2.6,11.6,35.1,11.3,no,yes,yes,yes,82431.0,43000.0,0.0,0.0,40274.66
ARE,MEA,HighIncome,39.0,4.0,3.0,10.0,25.0,19.0,yes,yes,no,yes,9269612.0,5413453.408,9.0,20.0,41449.68
ARG,LCN,HighIncome,38.74,3.16,1.84,15.36,13.96,14.61,yes,no,yes,yes,42981515.0,17910550.0,0.0,6.0,10411.87
ARM,ECS,MiddleUpperIncome,57.0,3.2,3.4,17.4,6.7,11.4,no,no,yes,no,2906220.0,492800.0,0.0,0.0,3957.72
ASM,EAS,MiddleUpperIncome,19.7,3.4,7.9,25.6,26.4,12.8,no,yes,no,no,55599.0,18989.49,0.0,0.0,9614.47
ATG,LCN,HighIncome,46.0,7.0,7.0,12.0,15.0,13.0,no,yes,yes,no,96777.0,30585.0,0.08,0.0,13891.46
AUS,EAS,HighIncome,48.44,3.81,19.38,3.46,17.3,7.61,yes,yes,yes,yes,23789338.0,13345000.0,0.0,42.1,56718.88
AUT,ECS,HighIncome,31.4,7.0,4.4,18.5,19.7,11.1,no,yes,yes,no,8633169.0,4836000.0,31.24,25.66,48654.26
AZE,ECS,MiddleUpperIncome,45.19,5.28,3.49,13.73,10.93,7.87,no,yes,yes,no,9649341.0,2930349.0,0.0,0.0,5927.4
BDI,SSF,LowIncome,81.0,2.9,2.1,3.2,7.3,3.5,no,no,no,no,6741569.0,1872016.0,0.0,0.0,340.76
BEL,ECS,HighIncome,14.18,3.1,1.91,40.14,18.38,13.94,no,yes,yes,no,11274196.0,4708000.0,19.137,34.303000000000004,45688.64
BEN,SSF,LowIncome,52.1,1.6,1.6,34.3,3.1,7.3,no,no,yes,yes,5521763.0,685936.01,0.0,25.0,1648.44
BFA,SSF,LowIncome,21.0,1.0,1.0,61.0,7.0,9.0,no,no,yes,yes,18110624.0,2575251.11,0.0,12.0,683.61
BGD,SAS,LowMiddleIncome,80.57999999999998,0.44,0.5,8.59,3.04,4.67,no,yes,yes,yes,155727053.0,14778497.33,5.25,0.0,1077.34
BGR,ECS,MiddleUpperIncome,24.35,5.83,1.98,17.93,14.18,12.15,yes,yes,yes,yes,7177991.0,3011000.0,10.32,19.03,7912.02
BHR,MEA,HighIncome,59.1,3.4,2.1,15.2,12.8,7.4,no,yes,yes,no,1425171.0,951942.96945,0.0,8.0,22291.4
BHS,LCN,HighIncome,46.0,7.0,7.0,12.0,15.0,13.0,no,yes,no,no,386838.0,264000.0,0.0,0.0,26739.37
BLR,ECS,MiddleUpperIncome,30.0,8.0,2.0,35.0,5.0,12.0,yes,yes,yes,yes,9489616.0,4280000.0,0.0,16.0,6237.03
BLZ,LCN,MiddleUpperIncome,47.0,8.0,5.0,5.0,16.0,19.0,yes,yes,yes,no,359288.0,101378.83030000002,0.0,0.0,4460.69
BMU,NAC,HighIncome,17.0,9.0,6.0,26.0,29.0,13.0,yes,yes,yes,no,64798.0,82000.0,18.3,2.0,35895.51301587302
BOL,LCN,LowMiddleIncome,55.196911196911195,2.9034749034749034,2.5019305019305023,22.7027027027027,6.501930501930501,10.193050193050194,yes,yes,yes,no,10724705.0,2219052.0,0.4,12.11,2495.02
BRA,LCN,MiddleUpperIncome,51.4,2.4,2.9,16.7,13.1,13.5,yes,yes,yes,yes,205962108.0,79889010.0,0.2,1.4,10957.87
BRB,LCN,HighIncome,18.3,3.7,4.9,5.7,19.7,17.1,no,yes,no,no,280601.0,174815.44444444447,0.0,9.0,16528.29
BRN,EAS,HighIncome,36.0,3.0,4.0,15.0,18.0,16.0,no,yes,yes,yes,423196.0,216253.156,2.0,0.0,31430.96
BTN,SAS,LowMiddleIncome,58.0,4.0,1.0,7.0,17.0,13.0,no,yes,yes,yes,686958.0,111314.05,1.39,0.86,3253.12
CAN,NAC,HighIncome,24.0,6.0,13.0,8.0,47.0,3.0,yes,yes,yes,yes,35544564.0,25103034.0,4.08,20.590000000000003,51428.46
CHE,ECS,HighIncome,29.0,4.0,3.0,29.0,20.0,15.0,no,yes,yes,no,8372098.0,6056000.0,21.0,32.0,76694.0
CHL,LCN,HighIncome,53.3,6.6,2.3,16.0,12.4,9.4,yes,no,yes,yes,16829442.0,6517000.0,0.44,0.37,15918.78
CHN,EAS,MiddleUpperIncome,61.2,2.1,1.1,13.1,9.6,9.8,no,yes,yes,yes,1371220000.0,210000000.0,3.0,0.0,6931.9
CMR,SSF,LowMiddleIncome,83.4,0.1,0.7,10.4,2.1,3.3,no,no,yes,yes,21655715.0,3270616.59,0.0,0.4,1618.6
COL,LCN,MiddleUpperIncome,59.58,2.35,1.1,15.74,8.4,12.83,yes,no,no,yes,46406646.0,12150120.0,0.0,17.2,7896.64
COM,SSF,LowIncome,50.0,2.0,4.0,22.0,7.0,5.0,no,no,yes,no,777424.0,91013.0,0.0,0.0,786.41
CRI,LCN,MiddleUpperIncome,58.0,1.0,2.0,7.0,21.0,11.0,no,no,yes,no,4757575.0,1460000.0,0.0,1.26,9784.7
CUB,LCN,MiddleUpperIncome,68.9,4.6,1.6,3.0,12.3,9.6,no,no,no,yes,11303687.0,2692691.98,0.0,9.49,7332.349814814818
CYM,LCN,HighIncome,10.9,3.5,6.2,11.4,31.1,11.0,no,yes,yes,no,59172.0,60000.0,0.0,21.0,35895.51301587302
CYP,ECS,HighIncome,41.47,2.66,3.25,10.07,25.7,14.77,yes,yes,yes,no,1160985.0,541000.0,4.62,13.31,20940.51
CZE,ECS,HighIncome,62.3,2.4,8.4,14.899999999999995,9.1,2.2,no,yes,yes,yes,10546059.0,3337000.0,4.22,25.5,21936.2
