country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
ABW,LCN,HighIncome,no,yes,yes,yes,103187.0,88132.0167,0.0,11.0,35895.51301587302
AFG,SAS,LowIncome,no,yes,yes,yes,34656032.0,5628525.37,0.0,0.0,617.89
AGO,SSF,LowMiddleIncome,no,no,yes,yes,25096150.0,4213643.585,0.0,0.0,4105.9
ALB,ECS,MiddleUpperIncome,no,yes,yes,yes,2880703.0,1142964.0,0.0,0.0,4676.32
AND,ECS,HighIncome,no,yes,yes,yes,82431.0,43000.0,0.0,0.0,40274.66
ARE,MEA,HighIncome,yes,yes,no,yes,9269612.0,5413453.408,9.0,20.0,41449.68
ARG,LCN,HighIncome,yes,no,yes,yes,42981515.0,17910550.0,0.0,6.0,10411.87
ARM,ECS,MiddleUpperIncome,no,no,yes,no,2906220.0,492800.0,0.0,0.0,3957.72
ASM,EAS,MiddleUpperIncome,no,yes,no,no,55599.0,18989.49,0.0,0.0,9614.47
ATG,LCN,HighIncome,no,yes,yes,no,96777.0,30585.0,0.08,0.0,13891.46
AUS,EAS,HighIncome,yes,yes,yes,yes,23789338.0,13345000.0,0.0,42.1,56718.88
AUT,ECS,HighIncome,no,yes,yes,no,8633169.0,4836000.0,31.24,25.66,48654.26
AZE,ECS,MiddleUpperIncome,no,yes,yes,no,9649341.0,2930349.0,0.0,0.0,5927.4
BDI,SSF,LowIncome,no,no,no,no,6741569.0,1872016.0,0.0,0.0,340.76
BEL,ECS,HighIncome,no,yes,yes,no,11274196.0,4708000.0,19.137,34.303000000000004,45688.64
BEN,SSF,LowIncome,no,no,yes,yes,5521763.0,685936.01,0.0,25.0,1648.44
BFA,SSF,LowIncome,no,no,yes,yes,18110624.0,2575251.11,0.0,12.0,683.61
BGD,SAS,LowMiddleIncome,no,yes,yes,yes,155727053.0,14778497.33,5.25,0.0,1077.34
BGR,ECS,MiddleUpperIncome,yes,yes,yes,yes,7177991.0,3011000.0,10.32,19.03,7912.02
BHR,MEA,HighIncome,no,yes,yes,no,1425171.0,951942.96945,0.0,8.0,22291.4
BHS,LCN,HighIncome,no,yes,no,no,386838.0,264000.0,0.0,0.0,26739.37
BIH,ECS,MiddleUpperIncome,no,no,no,yes,3535961.0,1248718.0,0.0,0.0009699999999999999,5353.48
BLR,ECS,MiddleUpperIncome,yes,yes,yes,yes,9489616.0,4280000.0,0.0,16.0,6237.03
BLZ,LCN,MiddleUpperIncome,yes,yes,yes,no,359288.0,101378.83030000002,0.0,0.0,4460.69
BMU,NAC,HighIncome,yes,yes,yes,no,64798.0,82000.0,18.3,2.0,35895.51301587302
BOL,LCN,LowMiddleIncome,yes,yes,yes,no,10724705.0,2219052.0,0.4,12.11,2495.02
BRA,LCN,MiddleUpperIncome,yes,yes,yes,yes,205962108.0,79889010.0,0.2,1.4,10957.87
BRB,LCN,HighIncome,no,yes,no,no,280601.0,174815.44444444447,0.0,9.0,16528.29
BRN,EAS,HighIncome,no,yes,yes,yes,423196.0,216253.156,2.0,0.0,31430.96
BTN,SAS,LowMiddleIncome,no,yes,yes,yes,686958.0,111314.05,1.39,0.86,3253.12
BWA,SSF,MiddleUpperIncome,no,no,no,no,2014866.0,210854.44261891601,0.0,1.0,8359.51
CAF,SSF,LowIncome,no,no,yes,no,4515392.0,1105983.0,0.0,0.0,331.44
CAN,NAC,HighIncome,yes,yes,yes,yes,35544564.0,25103034.0,4.08,20.590000000000003,51428.46
CHE,ECS,HighIncome,no,yes,yes,no,8372098.0,6056000.0,21.0,32.0,76694.0
CHI,ECS,HighIncome,no,yes,yes,no,164541.0,178933.0,15.909826589595378,28.43020231213873,35895.51301587302
CHL,LCN,HighIncome,yes,no,yes,yes,16829442.0,6517000.0,0.44,0.37,15918.78
CHN,EAS,MiddleUpperIncome,no,yes,yes,yes,1371220000.0,210000000.0,3.0,0.0,6931.9
CIV,SSF,LowMiddleIncome,no,yes,yes,yes,20401331.0,4440814.27,0.0,3.0,1803.63
CMR,SSF,LowMiddleIncome,no,no,yes,yes,21655715.0,3270616.59,0.0,0.4,1618.6
COD,SSF,LowIncome,no,no,yes,no,78736153.0,14385226.02,0.0,4.9,407.56
COG,SSF,LowMiddleIncome,no,no,yes,no,2648507.0,451200.0,0.0,26.2,5363.66
COL,LCN,MiddleUpperIncome,yes,no,no,yes,46406646.0,12150120.0,0.0,17.2,7896.64
COM,SSF,LowIncome,no,no,yes,no,777424.0,91013.0,0.0,0.0,786.41
CPV,SSF,LowMiddleIncome,yes,yes,yes,no,513979.0,132555.0,0.0,0.0,3619.15
CRI,LCN,MiddleUpperIncome,no,no,yes,no,4757575.0,1460000.0,0.0,1.26,9784.7
CUB,LCN,MiddleUpperIncome,no,no,no,yes,11303687.0,2692691.98,0.0,9.49,7332.349814814818
CUW,LCN,HighIncome,no,yes,yes,no,153822.0,24703.813200000004,0.0,2.0,35895.51301587302
CYM,LCN,HighIncome,no,yes,yes,no,59172.0,60000.0,0.0,21.0,35895.51301587302
CYP,ECS,HighIncome,yes,yes,yes,no,1160985.0,541000.0,4.62,13.31,20940.51
CZE,ECS,HighIncome,no,yes,yes,yes,10546059.0,3337000.0,4.22,25.5,21936.2
DEU,ECS,HighIncome,no,yes,yes,yes,81686611.0,51046000.0,18.23,47.83,46295.21
DJI,MEA,LowMiddleIncome,no,no,no,no,746221.0,114997.24900398408,0.0,0.0,2566.5491304347825
DMA,LCN,MiddleUpperIncome,yes,yes,yes,no,72400.0,13176.0,0.0,0.0,6989.25
DNK,ECS,HighIncome,yes,yes,yes,yes,5683483.0,4485000.0,18.99,27.27,61145.56
DOM,LCN,MiddleUpperIncome,no,yes,no,no,10528394.0,4063910.0,0.0,8.2,6996.71
